study_id,status,n_points,roll_deg,pitch_deg,yaw_deg,r11,r12,r13,r21,r22,r23,r31,r32,r33
CQ500CT1,ok,5,-4.049049024999328,1.639133555507122,2.8489396923662738,0.9983553644076987,-0.051596101802356714,0.024988169944426986,0.04968255302099722,0.9961707127559074,0.07194133007321389,-0.028604375254260038,-0.07058153672305649,0.9970958010091734
CQ500CT101,ok,5,-19.275020616782058,-5.472807478650876,10.01672062079656,0.9802680938304019,-0.13318248427299753,-0.14607152392229686,0.17314269429147153,0.9350324528256008,0.309412216268897,0.09537332767393286,-0.32859814066091936,0.9396420543603758
CQ500CT104,ok,5,-3.4687008174014635,-7.6077831208898585,10.090274490543063,0.97586664602178,-0.16699244718919223,-0.14070469702169472,0.17365742871779977,0.9841326322150603,0.036415102094860256,0.132391036831518,-0.05997069943915648,0.989381690034465
CQ500CT107,ok,5,-18.321442430721852,-0.7178281328718968,15.932941206869925,0.96150817728295,-0.25680961448880724,-0.0977284345732054,0.2744905659771847,0.913920031858698,0.29900686372878016,0.012528136634949241,-0.3143230778570141,0.9492334004442476
CQ500CT11,ok,5,-20.52785022750474,-9.59304223490769,11.47228705955822,0.9663166826208167,-0.12899448409913436,-0.22269371782943947,0.19611266226575774,0.9294143800465186,0.3126159526668204,0.16664901016128686,-0.34575906818873875,0.9234060722009138
CQ500CT110,ok,5,-17.67356910496054,-2.232836669483595,10.27742365286666,0.9832083490393108,-0.1583552698094349,-0.09069151505501583,0.17827905858278006,0.9396246399828038,0.29209949196810303,0.03896048832125653,-0.3033630571786343,0.9520782194173973
CQ500CT115,ok,5,5.937832732071739,-4.491919666958172,9.88588161420645,0.9821256587986595,-0.17874690233648755,-0.05898080394848564,0.17115899826558392,0.9784750507580545,-0.11528734690651948,0.07831850127537776,0.10313156621099316,0.9915795945907954
CQ500CT116,ok,5,-13.05800651778521,-9.579377631279177,5.595840853213257,0.9813569293703848,-0.05756927528033585,-0.18336945143732633,0.09615096637144714,0.9731658465692998,0.20905316724913456,0.16641384810936222,-0.22278692424546537,0.9605583884088876
CQ500CT123,ok,5,-15.345620645229452,-6.629412034846424,11.856524273812262,0.9721214557469269,-0.1682361137493203,-0.1633293767422191,0.20408784693226986,0.9500500986672487,0.2361206487304817,0.11544707017082077,-0.2628714896158937,0.9578990311802674
CQ500CT125,ok,5,-6.2054300542736245,-4.612829222900009,2.661019092561603,0.9956860811315899,-0.03747108249097574,-0.0848831303485677,0.046276468550438654,0.9934723285675219,0.10426514676116033,0.08042211324827091,-0.107743446889268,0.9909205989145154
CQ500CT13,ok,5,-24.63149363909765,-9.101284442934036,13.152420888365295,0.9615087050712724,-0.1426405409786711,-0.2348503483954767,0.22467762128966506,0.9001633065899208,0.3731299880212212,0.15818020281875536,-0.41153334924208845,0.8975629927185089
CQ500CT134,ok,5,-18.796110680079625,-5.947394342004188,11.613794264338534,0.9742544567696408,-0.15787641591961327,-0.1609449929661366,0.2002301715614857,0.9340106161700599,0.29585815398275433,0.10361530707839699,-0.3204671686429084,0.9415756273189357
CQ500CT136,ok,5,0.161599198144272,-6.439008056964327,11.437420126041,0.9739589424215839,-0.1986067467515893,-0.10935876106549888,0.19704661694022738,0.9800752549370587,-0.025002508123617942,0.11214548242993166,0.002802642469234479,0.9936878463409663
CQ500CT137,ok,5,-21.386507271019855,-5.719643510612889,15.110779940355718,0.9606172013347212,-0.2076502371023717,-0.18465094511314004,0.2593883169541384,0.9084200689794176,0.32785771197751146,0.099660892668822,-0.3628420555927305,0.9265059898164154
CQ500CT140,ok,5,-16.04788737080362,-11.482711781915043,9.376998300015654,0.9668899166355623,-0.10228435347789754,-0.2337986316086634,0.15966881284726997,0.9571556554465381,0.24157591239743104,0.19907224646448948,-0.27090766375338343,0.9417957731946269
CQ500CT145,ok,5,-5.604634466421233,-6.174510929987557,5.632097827282788,0.9893994920143289,-0.08721758267925747,-0.11611088869427807,0.09757110219067465,0.9914460629619465,0.08668670171688896,0.10755707888876995,-0.09709684602932722,0.9894461467265775
CQ500CT160,ok,5,-13.8633813714624,-4.680748321632012,12.587207547752998,0.9727104634235969,-0.1924942324655597,-0.1295388930543517,0.21719853160300134,0.9517964517539724,0.2165832687398705,0.08160362869230592,-0.23880846906264028,0.9676318323041083
CQ500CT161,ok,5,-21.812887883738778,-2.732914907539005,11.730591956269041,0.9780007997498559,-0.17140670946771097,-0.1188872391726521,0.20307886821112475,0.9126140485363822,0.35481625061448685,0.04768027867716749,-0.3711540628411407,0.9273463498940306
CQ500CT167,ok,5,-3.7186198150178758,-4.971983924451385,14.681890069156745,0.9637079709378676,-0.24748108618174283,-0.10010024342189325,0.2524985089271658,0.9667359147333076,0.040818796580896294,0.08666862027501877,-0.0646125618363759,0.9941397120689653
